,admin1,admin2,year,month,fatalities,cc_event_count,actor_state,actor_rebel_groups,actor_political_militias,actor_identity_militias,actor_civilians,actor_others,cc_onset,admin0,inflation_all,inflation_food,inflation_non_food,rainfall,rainfall_lag,temperature mean,btotl,maize_ETB_KG,teff_ETB_KG,wheat_ETB_KG,mean ndvi,ndvi_lag,cluster
72,Addis Ababa,Addis Ababa,2003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,24.098647821999997,0.0,15.833039111,2642130.0,0.0,0.0,0.0,132.23371092,0.0,Addis Ababa_Addis Ababa
73,Addis Ababa,Addis Ababa,2003,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,25.461433173000003,24.098647821999997,16.457524352,2642130.0,0.0,0.0,0.0,129.54964318,132.23371092,Addis Ababa_Addis Ababa
74,Addis Ababa,Addis Ababa,2003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,52.023415526,25.461433173000003,17.484859410000002,2642130.0,0.0,0.0,0.0,130.16196226,129.54964318,Addis Ababa_Addis Ababa
75,Addis Ababa,Addis Ababa,2003,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,114.538266222,52.023415526,17.546073448999998,2642130.0,0.0,0.0,0.0,131.38486337,130.16196226,Addis Ababa_Addis Ababa
76,Addis Ababa,Addis Ababa,2003,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.637581426000004,114.538266222,18.167934866,2642130.0,0.0,0.0,0.0,134.87132992,131.38486337,Addis Ababa_Addis Ababa
77,Addis Ababa,Addis Ababa,2003,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,128.21188904000002,20.637581426000004,16.336021469000002,2642130.0,0.0,0.0,0.0,130.95805834000004,134.87132992,Addis Ababa_Addis Ababa
78,Addis Ababa,Addis Ababa,2003,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,284.28415805,128.21188904000002,15.161319659,2642130.0,0.0,0.0,0.0,125.77294245000004,130.95805834000004,Addis Ababa_Addis Ababa
79,Addis Ababa,Addis Ababa,2003,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,308.92489715999994,284.28415805,15.651375495999998,2642130.0,0.0,0.0,0.0,130.63022311,125.77294245000004,Addis Ababa_Addis Ababa
80,Addis Ababa,Addis Ababa,2003,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,145.97672151,308.92489715999994,15.351473667,2642130.0,0.0,0.0,0.0,141.18395613,130.63022311,Addis Ababa_Addis Ababa
81,Addis Ababa,Addis Ababa,2003,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.4829249347,145.97672151,14.895481116,2642130.0,0.0,0.0,0.0,147.73092778999995,141.18395613,Addis Ababa_Addis Ababa
82,Addis Ababa,Addis Ababa,2003,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.6848981423,13.4829249347,15.069816559000001,2642130.0,0.0,0.0,0.0,140.08404319,147.73092778999995,Addis Ababa_Addis Ababa
83,Addis Ababa,Addis Ababa,2003,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.667891900999997,5.6848981423,14.581782331,2642130.0,0.0,0.0,0.0,135.32624142000003,140.08404319,Addis Ababa_Addis Ababa
